MsgID.STATE,0.0000000,True,True,1
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3983130,37.7924818,4.8940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.9000000,-0.1000000
MsgID.LOCAL_POSITION,299.3120000,0.1549288,-76.4232407,-4.8945231
MsgID.LOCAL_VELOCITY,299.3120000,0.0007660,-8.9096384,-0.1017614
MsgID.GLOBAL_POSITION,0.0000000,-122.3983378,37.7924812,4.8920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.9000000,-0.1300000
MsgID.LOCAL_POSITION,299.5620000,0.0861380,-78.6246262,-4.8929753
MsgID.LOCAL_VELOCITY,299.5620000,-0.0077456,-8.9050684,-0.1355796
MsgID.GLOBAL_POSITION,0.0000000,-122.3983664,37.7924802,4.9060000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-8.8900000,-0.1300000
MsgID.LOCAL_POSITION,299.8120000,-0.0295786,-81.1706238,-4.9061170
MsgID.LOCAL_VELOCITY,299.8120000,-0.0138385,-8.8963327,-0.1311368
MsgID.GLOBAL_POSITION,0.0000000,-122.3983908,37.7924801,4.9060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8700000,-0.0700000
MsgID.LOCAL_POSITION,300.0630000,-0.0368101,-83.3394394,-4.9062161
MsgID.LOCAL_VELOCITY,300.0630000,-0.0053692,-8.8787899,-0.0706308
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984136,37.7924804,4.9060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8800000,-0.0700000
MsgID.LOCAL_POSITION,300.3130000,0.0009878,-85.3640823,-4.9061637
MsgID.LOCAL_VELOCITY,300.3130000,0.0016666,-8.8845682,-0.0782706
MsgID.GLOBAL_POSITION,0.0000000,-122.3984399,37.7924815,4.9150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-8.8800000,-0.0400000
MsgID.LOCAL_POSITION,300.5620000,0.1157356,-87.7024918,-4.9150553
MsgID.LOCAL_VELOCITY,300.5620000,0.0009624,-8.8816242,-0.0420476
MsgID.GLOBAL_POSITION,0.0000000,-122.3984647,37.7924804,4.9230000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-8.8700000,-0.0100000
MsgID.LOCAL_POSITION,300.8140000,-0.0017550,-89.9062042,-4.9233069
MsgID.LOCAL_VELOCITY,300.8140000,-0.0125192,-8.8796940,-0.0194291
MsgID.GLOBAL_POSITION,0.0000000,-122.3984891,37.7924805,4.9200000
